Customer ID,Loyalty Tier,Years as Customer,Satisfaction Score,Acquisition Channel
BC-11125,Gold,7,3.9,Referral
BD-11320,Gold,5,3.8,Online
BD-11500,Bronze,5,3.4,Direct
BD-11560,Gold,7,5.0,Referral
BD-11605,Platinum,7,3.4,Direct
BD-11620,Bronze,2,3.0,Online
BD-11635,Silver,4,3.8,Partner
BD-11725,Silver,5,4.0,Online
BD-11770,Silver,4,3.0,Direct
BE-11335,Silver,2,4.0,Referral
BE-11410,Bronze,5,3.3,Online
BE-11455,Gold,7,4.7,Referral
BF-10975,Silver,3,4.4,Partner
BF-11005,Silver,3,4.5,Partner
BF-11020,Gold,7,2.7,Partner
BF-11080,Silver,5,3.0,Referral
BF-11170,Platinum,7,3.7,Online
BF-11215,Bronze,1,3.7,Referral
BF-11275,Silver,5,3.6,Referral
BG-11035,Gold,7,3.9,Online
BG-11695,Bronze,2,3.8,Partner
BG-11740,Silver,2,4.2,Partner
BH-11710,Platinum,10,3.0,Online
BK-11260,Silver,3,3.1,Referral
BM-11140,Gold,8,4.4,Referral
BM-11575,Bronze,3,3.9,Partner
BM-11650,Silver,5,3.4,Direct
BM-11785,Silver,2,3.5,Direct
BN-11470,Bronze,1,3.7,Direct
BN-11515,Platinum,12,3.8,Referral
BO-11350,Bronze,4,2.5,Referral
BO-11425,Bronze,1,3.4,Partner
BP-11050,Silver,2,3.7,Direct
BP-11095,Platinum,11,4.1,Partner
BP-11155,Bronze,3,4.7,Partner
BP-11185,Gold,6,3.0,Partner
BP-11230,Bronze,6,2.7,Online
BP-11290,Gold,7,2.9,Direct
BS-11365,Silver,2,3.8,Direct
BS-11380,Silver,7,3.2,Online
BS-11590,Bronze,2,4.1,Online
BS-11665,Silver,5,3.4,Direct
BS-11755,Gold,9,3.8,Online
BS-11800,Bronze,5,4.1,Partner
BT-11305,Bronze,3,3.9,Referral
BT-11395,Silver,4,2.8,Partner
BT-11440,Bronze,3,3.3,Direct
BT-11485,Silver,7,3.4,Online
BT-11530,Gold,8,3.0,Referral
BT-11680,Platinum,8,1.7,Direct
BV-11245,Bronze,3,3.4,Online
BW-11065,Silver,5,3.8,Referral
BW-11110,Bronze,1,3.5,Referral
BW-11200,Bronze,1,2.7,Online
CA-11965,Bronze,1,3.9,Referral
CA-12055,Bronze,3,4.6,Direct
CA-12265,Gold,7,3.5,Online
CA-12310,Gold,4,3.2,Partner
CA-12775,Gold,6,3.5,Direct
CB-12025,Gold,7,3.1,Direct
CB-12415,Silver,3,2.1,Online
CB-12535,Silver,5,3.7,Online
CC-12100,Bronze,2,4.0,Referral
CC-12145,Gold,4,3.7,Direct
CC-12220,Gold,6,4.3,Referral
CC-12370,Silver,4,4.0,Direct
CC-12430,Platinum,8,4.2,Direct
CC-12475,Gold,5,3.2,Partner
CC-12550,Silver,4,4.2,Direct
CC-12610,Platinum,6,4.9,Referral
CC-12670,Silver,4,2.6,Referral
CC-12685,Silver,5,4.8,Partner
CD-11920,Bronze,3,3.5,Referral
CD-11980,Bronze,7,1.9,Online
CD-12280,Silver,6,4.2,Partner
CD-12790,Bronze,2,3.3,Referral
CG-12040,Bronze,3,5.0,Referral
CG-12520,Bronze,2,3.1,Online
CH-12070,Bronze,1,3.8,Partner
CJ-11875,Bronze,4,3.1,Online
CJ-12010,Bronze,2,3.8,Partner
CK-12205,Silver,2,3.2,Partner
CK-12325,Silver,3,4.6,Direct
CK-12595,Platinum,8,4.1,Referral
CK-12760,Bronze,3,4.4,Referral
CL-11890,Bronze,4,3.3,Direct
CL-12565,Platinum,10,3.9,Online
CL-12700,Silver,6,3.5,Direct
CM-11815,Silver,5,4.5,Referral
CM-11935,Bronze,4,3.1,Referral
CM-12115,Bronze,4,3.6,Direct
CM-12160,Bronze,3,4.2,Direct
CM-12190,Gold,5,4.0,Direct
CM-12235,Bronze,3,2.5,Referral
CM-12385,Platinum,10,3.1,Direct
CM-12445,Silver,2,3.1,Direct
CM-12655,Bronze,1,2.7,Online
CM-12715,Silver,4,3.7,Direct
CP-12085,Gold,5,2.9,Referral
CP-12340,Platinum,11,3.8,Online
CR-12580,Bronze,1,2.8,Partner
CR-12625,Silver,1,4.2,Referral
CR-12730,Bronze,2,3.6,Referral
CR-12820,Silver,4,2.7,Partner
CS-11845,Bronze,4,3.0,Referral
CS-11860,Bronze,1,3.8,Partner
CS-11950,Platinum,5,4.2,Partner
CS-12130,Bronze,2,3.8,Referral
CS-12175,Gold,5,3.5,Direct
CS-12250,Platinum,11,3.8,Direct
CS-12355,Gold,5,3.6,Partner
CS-12400,Gold,7,3.1,Online
CS-12460,Bronze,4,3.2,Partner
CS-12490,Silver,4,3.0,Partner
CS-12505,Bronze,3,3.2,Partner
CT-11995,Platinum,7,3.0,Direct
CV-12295,Gold,6,2.7,Direct
CV-12805,Platinum,7,4.8,Direct
CW-11905,Silver,4,3.1,Partner
CY-12745,Silver,4,4.4,Online
Co-12640,Bronze,2,2.4,Direct
DA-13450,Silver,5,2.4,Referral
DB-12910,Silver,5,4.5,Referral
DB-12970,Silver,3,2.4,Referral
DB-13060,Silver,5,3.2,Partner
DB-13120,Bronze,3,2.6,Referral
DB-13210,Gold,8,4.5,Partner
DB-13270,Silver,4,3.4,Referral
DB-13360,Bronze,2,3.4,Online
DB-13405,Gold,9,2.9,Partner
DB-13555,Silver,3,3.4,Referral
DB-13615,Bronze,2,3.3,Direct
DB-13660,Bronze,2,2.4,Partner
DC-12850,Platinum,12,3.4,Direct
DC-13285,Bronze,2,3.3,Direct
DD-13570,Gold,7,3.7,Direct
DE-13255,Silver,3,3.3,Direct
DF-13135,Bronze,2,3.3,Referral
DG-13300,Bronze,3,3.6,Referral
DH-13075,Gold,8,4.3,Partner
DH-13675,Silver,4,2.1,Partner
DJ-13420,Bronze,3,3.2,Partner
DJ-13510,Silver,6,3.2,Referral
DJ-13630,Bronze,2,3.8,Partner
DK-12835,Silver,4,3.2,Direct
DK-12895,Gold,10,4.0,Referral
DK-12985,Gold,7,3.3,Partner
DK-13090,Gold,6,3.2,Direct
DK-13150,Bronze,4,3.0,Partner
DK-13225,Silver,4,3.5,Online
DK-13375,Gold,8,4.9,Partner
DL-12865,Silver,6,4.3,Online
DL-12925,Bronze,1,3.7,Partner
DL-13315,Silver,4,2.7,Partner
DL-13330,Bronze,3,3.1,Referral
DL-13495,Silver,3,3.5,Referral
DM-12955,Silver,2,3.9,Online
DM-13015,Platinum,5,3.4,Referral
DM-13345,Silver,5,5.0,Direct
DM-13525,Gold,7,2.9,Direct
DN-13690,Silver,9,4.0,Online
DO-13435,Silver,4,4.4,Direct
DO-13645,Gold,4,2.7,Direct
DP-13000,Bronze,1,4.5,Partner
DP-13105,Silver,6,3.8,Referral
DP-13165,Silver,5,4.4,Direct
DP-13390,Silver,3,4.7,Direct
DR-12880,Gold,5,4.5,Referral
DR-12940,Silver,7,3.7,Direct
DS-13030,Gold,9,2.7,Direct
DS-13180,Gold,6,3.7,Referral
DV-13045,Bronze,2,2.5,Partner
DV-13465,Gold,9,3.4,Direct
DW-13195,Platinum,10,5.0,Referral
DW-13480,Silver,5,3.5,Direct
DW-13540,Bronze,1,4.3,Direct
DW-13585,Platinum,7,4.8,Partner
Dl-13600,Bronze,1,3.1,Online
Dp-13240,Gold,7,2.5,Online
EA-14035,Silver,3,3.6,Referral
EB-13705,Bronze,2,3.2,Online
EB-13750,Bronze,3,4.1,Referral
EB-13840,Silver,3,4.1,Online
EB-13870,Silver,3,4.0,Partner
EB-13930,Silver,2,3.1,Referral
EB-13975,Bronze,1,2.1,Online
EB-14110,Gold,8,4.5,Partner
EB-14170,Silver,1,2.8,Online
EC-14050,Bronze,4,2.3,Direct
ED-13885,Silver,3,3.9,Direct
EG-13900,Bronze,2,3.2,Partner
EH-13765,Gold,9,4.4,Direct
EH-13945,Silver,3,4.0,Direct
EH-13990,Bronze,1,4.2,Referral
EH-14005,Bronze,4,4.5,Online
EH-14125,Silver,4,3.4,Referral
EH-14185,Silver,3,2.7,Online
EJ-13720,Bronze,2,2.1,Direct
EJ-14155,Bronze,2,2.2,Referral
EK-13795,Bronze,5,4.2,Online
EL-13735,Silver,4,3.8,Online
EM-13810,Bronze,1,2.7,Referral
EM-13825,Gold,2,4.6,Partner
EM-13960,Bronze,3,3.6,Online
EM-14065,Bronze,2,3.4,Direct
EM-14095,Silver,7,3.2,Online
EM-14140,Gold,8,5.0,Direct
EM-14200,Silver,4,3.5,Referral
EN-13780,Bronze,1,3.1,Online
EP-13915,Gold,8,3.8,Direct
ER-13855,Silver,3,3.0,Direct
ES-14020,Bronze,3,2.6,Referral
ES-14080,Silver,4,2.7,Online
FA-14230,Silver,6,3.1,Online
FC-14245,Silver,7,3.4,Referral
FC-14335,Silver,5,4.6,Online
FG-14260,Silver,3,3.2,Referral
FH-14275,Silver,3,3.1,Online
FH-14350,Silver,8,4.3,Partner
FH-14365,Silver,1,4.2,Online
FM-14215,Bronze,3,3.9,Direct
FM-14290,Silver,1,4.4,Direct
FM-14380,Gold,5,4.1,Partner
FO-14305,Gold,6,3.7,Online
FP-14320,Silver,1,2.4,Direct
FW-14395,Bronze,1,3.9,Direct
GA-14515,Gold,6,3.3,Online
GA-14725,Gold,5,4.1,Referral
GB-14530,Gold,6,3.9,Online
GB-14575,Silver,9,3.7,Referral
GD-14590,Bronze,1,2.0,Partner
GG-14650,Silver,6,4.5,Partner
GH-14410,Gold,7,4.0,Direct
GH-14425,Bronze,3,4.2,Direct
GH-14485,Gold,7,4.4,Direct
GH-14665,Silver,2,4.8,Referral
GK-14620,Gold,5,3.4,Direct
GM-14440,Gold,5,4.2,Online
GM-14455,Gold,5,4.1,Referral
GM-14500,Silver,5,3.8,Partner
GM-14680,Platinum,9,3.8,Referral
GM-14695,Silver,7,3.4,Direct
GP-14740,Bronze,2,3.7,Online
GR-14560,Bronze,1,2.5,Online
GT-14635,Bronze,3,4.9,Direct
GT-14710,Platinum,12,3.4,Online
GT-14755,Bronze,3,3.9,Referral
GW-14605,Gold,8,3.4,Referral
GZ-14470,Gold,5,3.5,Direct
GZ-14545,Bronze,3,3.6,Online
HA-14905,Gold,7,3.0,Partner
HA-14920,Platinum,9,3.5,Referral
HD-14785,Bronze,3,3.8,Referral
HE-14800,Silver,3,4.5,Referral
HF-14995,Gold,7,3.8,Referral
HG-14845,Bronze,3,1.8,Partner
HG-14965,Silver,5,3.0,Direct
HG-15025,Silver,4,4.1,Referral
HH-15010,Bronze,4,2.6,Online
HJ-14875,Bronze,4,2.8,Partner
HK-14890,Silver,6,2.5,Referral
HL-15040,Gold,5,3.1,Online
HM-14860,Platinum,11,3.4,Referral
HM-14980,Bronze,4,5.0,Direct
HP-14815,Gold,10,2.4,Partner
HR-14770,Bronze,4,2.8,Direct
HR-14830,Silver,5,2.8,Partner
HW-14935,Gold,9,3.9,Referral
HZ-14950,Bronze,3,4.2,Referral
IG-15085,Bronze,2,3.5,Partner
IL-15100,Gold,6,4.1,Online
IM-15055,Gold,5,4.0,Online
IM-15070,Silver,6,3.6,Referral
JA-15970,Platinum,8,3.9,Referral
JB-15400,Gold,7,4.2,Direct
JB-15925,Silver,5,3.9,Referral
JB-16000,Silver,5,2.7,Partner
JB-16045,Bronze,2,3.7,Online
JC-15340,Silver,7,4.0,Online
JC-15385,Bronze,5,2.7,Direct
JC-15775,Gold,10,3.8,Online
JC-16105,Bronze,3,3.1,Online
JD-15790,Silver,6,3.0,Partner
JD-15895,Silver,5,3.6,Online
JD-16015,Gold,7,3.1,Direct
JD-16060,Bronze,5,3.2,Direct
JD-16150,Gold,6,4.3,Online
JE-15475,Gold,7,4.6,Referral
JE-15610,Platinum,11,3.9,Online
JE-15715,Silver,2,3.0,Direct
JE-15745,Gold,5,4.3,Direct
JE-16165,Bronze,1,3.2,Partner
JF-15190,Gold,9,2.8,Online
JF-15295,Bronze,2,2.5,Online
JF-15355,Bronze,2,3.7,Partner
JF-15415,Platinum,10,4.9,Direct
JF-15490,Bronze,2,2.6,Partner
JF-15565,Silver,4,3.3,Referral
JG-15115,Bronze,3,3.4,Online
JG-15160,Gold,5,3.6,Direct
JG-15310,Bronze,2,2.6,Partner
JG-15805,Bronze,3,4.0,Direct
JH-15430,Bronze,1,3.4,Referral
JH-15820,Silver,5,3.6,Online
JH-15910,Bronze,4,3.1,Partner
JH-15985,Silver,5,4.4,Direct
JH-16180,Gold,3,3.2,Online
JJ-15445,Gold,4,4.1,Online
JJ-15760,Bronze,3,3.7,Direct
JK-15205,Silver,1,4.4,Online
JK-15325,Silver,4,2.9,Online
JK-15370,Gold,8,4.4,Partner
JK-15625,Bronze,3,3.0,Online
JK-15640,Gold,9,3.7,Partner
JK-15730,Silver,4,3.1,Online
JK-16090,Silver,5,3.5,Referral
JK-16120,Gold,6,4.8,Referral
JL-15130,Silver,1,4.4,Partner
JL-15175,Bronze,3,2.6,Partner
JL-15235,Gold,11,4.1,Referral
JL-15505,Gold,6,3.5,Online
JL-15835,Platinum,8,3.7,Partner
JL-15850,Bronze,1,4.6,Direct
JM-15250,Gold,10,3.2,Online
JM-15265,Silver,3,4.0,Online
JM-15535,Silver,6,3.1,Referral
JM-15580,Silver,4,3.6,Partner
JM-15655,Gold,6,4.1,Online
JM-15865,Bronze,2,4.7,Partner
JM-16195,Gold,11,3.4,Partner
JO-15145,Silver,4,2.6,Partner
JO-15280,Bronze,1,3.0,Referral
JO-15550,Silver,6,4.0,Partner
JP-15460,Gold,6,4.3,Referral
JP-15520,Platinum,9,3.4,Direct
JP-16135,Bronze,1,4.0,Online
JR-15670,Bronze,4,3.6,Online
JR-15700,Bronze,1,4.2,Direct
JR-16210,Silver,2,4.6,Referral
JS-15595,Bronze,1,3.6,Online
JS-15685,Bronze,3,2.9,Referral
JS-15880,Bronze,3,2.9,Referral
JS-15940,Silver,6,3.7,Referral
JS-16030,Silver,6,3.6,Direct
JW-15220,Platinum,11,5.0,Direct
JW-15955,Bronze,3,3.1,Referral
JW-16075,Platinum,10,4.5,Partner
KA-16525,Silver,3,4.8,Direct
KB-16240,Silver,6,2.3,Partner
KB-16315,Platinum,12,4.9,Partner
KB-16405,Bronze,3,3.3,Referral
KB-16585,Platinum,10,4.1,Partner
KB-16600,Bronze,4,3.8,Partner
KC-16255,Bronze,4,3.6,Partner
KC-16540,Bronze,5,3.9,Referral
KC-16675,Gold,6,3.6,Referral
KD-16270,Platinum,11,2.3,Direct
KD-16345,Silver,5,5.0,Direct
KD-16495,Gold,3,3.2,Partner
KD-16615,Gold,6,3.0,Referral
KE-16420,Silver,2,4.0,Referral
KF-16285,Gold,6,3.2,Partner
KH-16330,Gold,8,3.8,Direct
KH-16360,Platinum,8,4.5,Referral
KH-16510,Bronze,2,3.2,Direct
KH-16630,Bronze,3,4.5,Partner
KH-16690,Platinum,8,2.5,Referral
KL-16555,Silver,5,2.6,Partner
KL-16645,Bronze,3,3.2,Online
KM-16225,Silver,3,4.2,Partner
KM-16375,Platinum,6,3.6,Partner
KM-16660,Silver,2,3.8,Partner
KM-16720,Silver,4,4.0,Referral
KN-16390,Platinum,8,4.8,Partner
KN-16450,Bronze,2,3.4,Partner
KN-16705,Gold,8,2.7,Online
KS-16300,Bronze,2,2.0,Referral
KT-16465,Silver,3,4.6,Online
KT-16480,Platinum,12,3.9,Partner
KW-16435,Bronze,4,3.2,Referral
KW-16570,Silver,4,3.1,Online
LA-16780,Silver,1,4.0,Partner
LB-16735,Bronze,3,3.4,Direct
LB-16795,Silver,2,2.8,Online
LC-16870,Gold,5,3.2,Referral
LC-16885,Gold,7,4.6,Online
LC-16930,Silver,5,4.4,Online
LC-16960,Silver,3,3.8,Online
LC-17050,Bronze,2,3.5,Direct
LC-17140,Silver,5,4.6,Referral
LD-16855,Silver,6,3.4,Referral
LD-17005,Bronze,3,3.0,Referral
LE-16810,Silver,4,3.7,Partner
LF-17185,Platinum,10,4.0,Referral
LH-16750,Bronze,2,4.8,Referral
LH-16900,Silver,2,3.8,Direct
LH-17020,Bronze,4,3.8,Partner
LH-17155,Silver,3,2.4,Partner
LL-16840,Gold,3,3.8,Online
LM-17065,Silver,5,3.7,Partner
LO-17170,Bronze,2,4.2,Partner
LP-17080,Gold,6,3.8,Direct
LP-17095,Silver,6,4.4,Referral
LR-16915,Silver,6,3.9,Partner
LR-17035,Silver,3,4.1,Partner
LS-16945,Platinum,10,3.9,Direct
LS-16975,Silver,4,4.4,Partner
LS-17200,Bronze,3,3.2,Partner
LS-17230,Silver,4,4.0,Direct
LS-17245,Silver,5,4.3,Online
LT-16765,Bronze,2,3.4,Online
LT-17110,Gold,8,4.2,Partner
LW-16825,Gold,9,4.2,Partner
LW-16990,Bronze,1,2.9,Referral
LW-17125,Bronze,5,2.8,Partner
LW-17215,Platinum,10,3.7,Referral
MA-17560,Silver,2,2.7,Online
MA-17995,Gold,7,3.0,Partner
MB-17305,Gold,7,4.0,Partner
MB-18085,Silver,2,3.5,Direct
MC-17275,Bronze,2,3.5,Partner
MC-17425,Gold,9,3.9,Online
MC-17575,Silver,5,2.8,Partner
MC-17590,Silver,5,3.3,Referral
MC-17605,Platinum,7,4.0,Partner
MC-17635,Silver,5,3.0,Referral
MC-17845,Silver,5,4.1,Direct
MC-18100,Silver,3,4.0,Partner
MC-18130,Bronze,4,4.4,Direct
MD-17350,Silver,6,3.9,Direct
MD-17860,Silver,2,3.6,Partner
ME-17320,Silver,5,4.5,Referral
ME-17725,Platinum,9,4.7,Partner
ME-18010,Bronze,4,4.8,Referral
MF-17665,Bronze,1,2.7,Direct
MF-18250,Gold,6,4.4,Online
MG-17650,Gold,7,4.3,Partner
MG-17680,Silver,5,3.5,Online
MG-17695,Bronze,4,2.8,Referral
MG-17875,Bronze,1,3.8,Partner
MG-17890,Silver,1,3.6,Online
MG-18145,Silver,7,2.0,Online
MG-18205,Bronze,3,4.8,Partner
MH-17290,Silver,5,3.6,Online
MH-17440,Silver,5,4.4,Partner
MH-17455,Silver,6,4.1,Online
MH-17620,Bronze,5,4.6,Direct
MH-17785,Gold,5,4.3,Partner
MH-18025,Gold,6,2.7,Direct
MH-18115,Gold,6,4.5,Direct
MJ-17740,Gold,4,4.6,Online
MK-17905,Silver,6,3.8,Referral
MK-18160,Silver,3,3.4,Direct
ML-17395,Gold,7,3.7,Direct
ML-17410,Gold,4,3.1,Direct
ML-17755,Gold,5,4.1,Referral
ML-18040,Silver,4,3.7,Referral
ML-18265,Bronze,3,3.8,Direct
MM-17260,Bronze,1,2.1,Referral
MM-17920,Gold,6,4.6,Referral
MM-18055,Platinum,11,5.0,Referral
MM-18280,Silver,4,2.8,Partner
MN-17935,Bronze,4,3.5,Direct
MO-17500,Silver,6,3.7,Referral
MO-17800,Gold,5,4.2,Partner
MO-17950,Silver,5,4.6,Online
MP-17470,Gold,9,3.8,Online
MP-17965,Gold,6,3.9,Referral
MP-18175,Bronze,2,5.0,Direct
MR-17545,Bronze,3,3.0,Referral
MS-17365,Bronze,1,4.4,Online
MS-17530,Silver,3,3.1,Direct
MS-17710,Platinum,9,3.9,Direct
MS-17770,Gold,7,2.2,Online
MS-17830,Silver,2,2.8,Partner
MS-17980,Gold,9,3.4,Partner
MT-17815,Gold,10,4.5,Referral
MT-18070,Gold,6,4.0,Direct
MV-17485,Gold,9,2.9,Referral
MV-18190,Silver,4,3.2,Direct
MW-18220,Platinum,5,4.8,Online
MW-18235,Bronze,1,4.3,Direct
MY-17380,Silver,7,3.6,Direct
MY-18295,Platinum,11,3.1,Online
MZ-17335,Bronze,1,3.6,Partner
MZ-17515,Silver,5,2.9,Online
NB-18580,Silver,6,2.2,Direct
NB-18655,Silver,8,3.8,Online
NC-18340,Platinum,12,3.2,Direct
NC-18415,Platinum,12,3.4,Partner
NC-18535,Silver,3,3.8,Partner
NC-18625,Bronze,2,4.0,Direct
ND-18370,Gold,5,4.6,Partner
ND-18460,Bronze,2,2.7,Online
NF-18385,Gold,8,4.3,Partner
NF-18475,Bronze,4,2.9,Referral
NF-18595,Silver,3,3.0,Partner
NG-18355,Gold,6,3.5,Referral
NG-18430,Silver,4,3.3,Online
NH-18610,Silver,3,4.0,Partner
NK-18490,Silver,5,2.9,Partner
NL-18310,Silver,2,3.3,Partner
NM-18445,Silver,4,3.9,Online
NM-18520,Gold,9,2.3,Online
NP-18325,Bronze,3,2.9,Referral
NP-18670,Gold,3,3.7,Direct
NP-18685,Silver,3,3.9,Online
NP-18700,Silver,3,3.9,Partner
NR-18550,Silver,6,3.2,Referral
NS-18505,Bronze,1,3.9,Partner
NS-18640,Gold,6,4.1,Partner
NW-18400,Platinum,7,2.9,Online
NZ-18565,Gold,8,4.1,Direct
ON-18715,Silver,8,4.4,Partner
OT-18730,Bronze,2,3.6,Online
PA-19060,Gold,10,3.8,Referral
PB-18805,Silver,4,3.9,Partner
PB-19105,Silver,1,3.4,Referral
PB-19150,Bronze,1,3.5,Online
PB-19210,Bronze,2,4.0,Online
PC-18745,Silver,4,4.3,Online
PC-19000,Silver,3,4.0,Online
PF-19120,Gold,7,3.6,Online
PF-19165,Gold,6,4.3,Direct
PF-19225,Platinum,8,4.5,Referral
PG-18820,Gold,8,4.7,Direct
PG-18895,Gold,11,2.8,Referral
PH-18790,Silver,3,4.0,Partner
PJ-18835,Bronze,3,4.1,Partner
PJ-19015,Silver,3,3.1,Referral
PK-18910,Silver,5,4.5,Partner
PK-19075,Platinum,10,3.3,Partner
PL-18925,Silver,4,3.9,Partner
PM-18940,Silver,5,3.6,Direct
PM-19135,Bronze,1,2.5,Direct
PN-18775,Silver,5,1.9,Online
PO-18850,Gold,3,3.3,Referral
PO-18865,Silver,6,3.5,Partner
PO-19180,Gold,6,3.1,Referral
PO-19195,Silver,4,3.9,Online
PP-18955,Gold,8,3.7,Online
PR-18880,Silver,4,4.5,Partner
PS-18760,Gold,6,4.0,Online
PS-18970,Silver,5,4.3,Partner
PS-19045,Bronze,3,3.6,Online
PT-19090,Bronze,2,3.5,Online
PV-18985,Gold,7,4.5,Partner
PW-19030,Silver,6,3.5,Online
PW-19240,Silver,8,3.8,Online
QJ-19255,Gold,3,4.3,Online
RA-19285,Silver,3,3.7,Referral
RA-19885,Silver,2,4.0,Direct
RA-19915,Platinum,5,3.8,Referral
RA-19945,Bronze,4,4.4,Online
RB-19330,Gold,4,3.7,Direct
RB-19360,Silver,5,4.3,Referral
RB-19435,Gold,9,2.7,Referral
RB-19465,Platinum,5,4.1,Referral
RB-19570,Gold,4,4.5,Partner
RB-19645,Silver,7,2.7,Online
RB-19705,Bronze,2,3.6,Online
RB-19795,Gold,5,3.8,Direct
RC-19825,Gold,5,4.1,Referral
RC-19960,Silver,3,3.6,Online
RD-19480,Gold,5,3.4,Referral
RD-19585,Bronze,2,3.3,Online
RD-19660,Gold,3,4.0,Referral
RD-19720,Gold,5,3.6,Online
RD-19810,Platinum,8,3.7,Direct
RD-19900,Gold,8,3.4,Referral
RD-19930,Bronze,4,4.1,Online
RE-19405,Gold,4,3.6,Direct
RE-19450,Bronze,2,3.3,Direct
RF-19345,Platinum,11,3.8,Online
RF-19735,Bronze,3,3.6,Referral
RF-19840,Silver,5,3.5,Partner
RH-19495,Silver,4,4.8,Direct
RH-19510,Gold,2,3.7,Direct
RH-19555,Bronze,4,4.3,Online
RH-19600,Bronze,4,3.8,Partner
RK-19300,Platinum,7,2.7,Partner
RL-19615,Silver,3,3.9,Partner
RM-19375,Silver,2,4.0,Online
RM-19675,Bronze,2,2.9,Referral
RM-19750,Silver,6,3.0,Direct
RO-19780,Bronze,1,3.9,Online
RP-19270,Gold,8,4.1,Partner
RP-19390,Platinum,9,4.3,Direct
RP-19855,Silver,2,3.6,Direct
RR-19315,Silver,4,3.3,Partner
RR-19525,Gold,8,3.4,Partner
RS-19420,Bronze,4,3.8,Direct
RS-19765,Platinum,12,3.5,Direct
RS-19870,Bronze,3,3.1,Referral
RW-19540,Gold,6,4.5,Referral
RW-19630,Gold,6,3.6,Online
RW-19690,Silver,3,2.3,Direct
SA-20830,Gold,3,3.4,Referral
SB-20170,Bronze,2,3.4,Direct
SB-20185,Gold,4,3.3,Partner
SB-20290,Bronze,5,3.2,Referral
SC-20020,Silver,4,3.4,Partner
SC-20050,Platinum,11,4.1,Partner
SC-20095,Gold,3,4.0,Partner
SC-20230,Silver,1,2.3,Online
SC-20260,Platinum,8,4.8,Partner
SC-20305,Bronze,2,3.3,Online
SC-20380,Platinum,8,3.2,Direct
SC-20440,Bronze,1,3.2,Direct
SC-20575,Bronze,1,3.7,Referral
SC-20680,Gold,8,3.5,Referral
SC-20695,Platinum,9,3.6,Online
SC-20725,Silver,8,2.2,Direct
SC-20770,Gold,5,3.3,Referral
SC-20800,Bronze,4,2.7,Referral
SC-20845,Silver,3,4.2,Referral
SD-20485,Silver,4,2.8,Direct
SE-20110,Gold,4,4.1,Referral
SF-20065,Silver,2,4.6,Direct
SF-20200,Gold,4,3.3,Partner
SF-20965,Platinum,12,3.6,Partner
SG-20080,Bronze,3,4.0,Partner
SG-20470,Silver,5,3.3,Online
